candynames,manufacturer,type
Butterfinger,nestle,chocolate
100 Grand Bar,nestle,chocolate
Anonymous brown globs that come in black and orange wrappers,unknown,sweets
Any full-sized candy bar,many,sweets
Black Jacks,"tangerine,baratt",licorice
Bonkers,nabisco,sweets
Bottle Caps,willy wonka,sweets
Box'o' Raisins,sunmaid,natural
Brach products (not including candy corn),brachs,sweets
Bubble Gum,many,chewing gum
Cadbury Creme Eggs,cadbury,chocolate
Candy Corn,many,sweets
"Vials of pure high fructose corn syrup, for main-lining into your vein",many,sweets
Candy that is clearly just the stuff given out for free at restaurants,many,sweets
"Cash, or other forms of legal tender",many,danger
Chiclets,cadbury,chewing gum
Caramellos,cadbury,chocolate
Snickers,mars,chocolate
Dark Chocolate Hershey,hershey,chocolate
Dental paraphenalia,many,danger
Dots,tootsie,sweets
Fuzzy Peaches,maynards,sweets
Generic Brand Acetaminophen,many,danger
Glow sticks,many,danger
Broken glow stick,many,danger
Goo Goo Clusters,goo,chocolate
Good N' Plenty,hershey,licorice
Gum from baseball cards,topps,chewing gum
Gummy Bears straight up,many,sweets
Creepy Religious comics/Chick Tracts,many,danger
Healthy Fruit,god,natural
Heath Bar,hershey,chocolate
Hershey's Kissables,hershey,chocolate
Hershey's Milk Chocolate,hershey,chocolate
Hugs (actual physical hugs),many,danger
Jolly Rancher (bad flavor),hershey,sweets
Jolly Ranchers (good flavor),hershey,sweets
Kale smoothie,many,natural
Kinder Happy Hippo,kinder,chocolate
Kit Kat,nestle,chocolate
Hard Candy,many,sweets
Lapel Pins,many,danger
LemonHeads,ferrara,sweets
Licorice,many,licorice
Licorice (not black),many,licorice
Lindt Truffle,lindt,chocolate
Lollipops,many,sweets
Mars,mars,chocolate
Mary Janes,necco,sweets
Maynards,maynards,sweets
Milk Duds,hershey,chocolate
LaffyTaffy,willy wonka,sweets
Minibags of chips,many,salty
JoyJoy (Mit Iodine),simpsons,imaginary
Reggie Jackson Bar,wayne,chocolate
Pixy Stix,nestle,sweets
Nerds,willy wonka,sweets
Nestle Crunch,nestle,chocolate
Now'n'Laters,ferrara,sweets
Pencils,many,sweets
Milky Way,mars,chocolate
Reese's Peanut Butter Cups,reese,chocolate
Tolberone something or other,mondelez,chocolate
Runts,nestle,sweets
Junior Mints,tootsie,chocolate
Senior Mints,tootsie,chocolate
Mint Kisses,unknown,sweets
Mint Juleps,necco,sweets
Mint Leaves,unknown,sweets
Peanut M&M's,mars,chocolate
Regular M&Ms,mars,chocolate
Mint M&Ms,mars,chocolate
Ribbon candy,washburn,sweets
Rolos,nestle,chocolate
Skittles,mars,sweets
Smarties (American),smarties,sweets
Smarties (Commonwealth),nestle,chocolate
Chick-o-Sticks (we don't know what that is),atkinson,sweets
Spotted Dick,montezuma,chocolate
Starburst,mars,sweets
Swedish Fish,many,sweets
Sweetums,parks_rec,imaginary
Those odd marshmallow circus peanut things,unknown,unknown
Three Musketeers,mars,chocolate
Peterson Brand Sidewalk Chalk,unknown,unknown
Peanut Butter Bars,many,chocolate
Peanut Butter Jars,many,other
Trail Mix,many,other
Twix,mars,chocolate
Vicodin,many,danger
White Bread,many,other
Whole Wheat anything,many,other
York Peppermint Patties,hershey,chocolate
"Sea-salt flavored stuff, probably chocolate, since this is the 'it' flavor of the year",many,chocolate
Necco Wafers,necco,sweets
